City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Lerwick,GB,60.1545,-1.1494,39.2,73,100,26.55,overcast clouds
337,Manggar,ID,-2.8833,108.2667,78.53,82,98,4.09,overcast clouds
338,Miyako,JP,39.6367,141.9525,22.68,66,2,13.42,clear sky
339,Baykit,RU,61.67,96.37,5.0,98,100,3.11,overcast clouds
340,Dauphin,CA,51.1494,-100.0502,-3.86,77,90,14.97,light snow
341,Rawson,AR,-43.3002,-65.1023,65.48,42,5,15.73,clear sky
342,Dicabisagan,PH,17.0818,122.4157,73.0,81,95,6.26,overcast clouds
343,Henties Bay,NA,-22.116,14.2845,62.85,90,2,6.58,clear sky
344,Smithers,CA,54.7804,-127.1743,-3.91,81,99,5.55,overcast clouds
345,Palmer,US,42.1584,-72.3287,34.83,42,0,1.01,clear sky
346,Touros,BR,-5.1989,-35.4608,86.9,66,1,17.11,clear sky
