City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Haines Junction,CA,2021-12-30 16:32:35,60.7522,-137.5108,-11.25,77,27,2.3
230,Anan,JP,2021-12-30 16:32:36,33.9167,134.65,39.27,69,19,10.98
231,Egvekinot,RU,2021-12-30 16:32:36,66.3167,-179.1667,-15.03,85,14,10.47
232,Mayo,US,2021-12-30 16:32:36,38.8876,-76.5119,53.37,95,100,1.01
233,Moron,AR,2021-12-30 16:30:06,-34.6534,-58.6198,93.97,32,42,3.44
234,Pozhva,RU,2021-12-30 16:32:37,59.0912,56.0847,2.07,95,100,6.26
235,Ostrovnoy,RU,2021-12-30 16:32:37,68.0531,39.5131,19.96,91,98,14.05
236,Nioro,GM,2021-12-30 16:32:38,13.35,-15.75,97.88,8,1,7.58
237,Orcopampa,PE,2021-12-30 16:32:38,-15.2661,-72.3417,56.8,64,69,7.78
238,Bella Union,UY,2021-12-30 16:32:38,-30.2752,-57.6007,102.52,16,0,3.22
239,Bethel,US,2021-12-30 16:29:03,41.3712,-73.414,45.48,91,90,0.0
240,Casper,US,2021-12-30 16:31:13,42.8666,-106.3131,32.5,46,1,28.99
241,Calvinia,ZA,2021-12-30 16:32:39,-31.4707,19.776,72.03,22,98,9.19
242,Licheng,CN,2021-12-30 16:32:39,23.2955,113.8284,58.93,81,0,4.99
243,Pamanukan,ID,2021-12-30 16:32:40,-6.2842,107.8106,77.27,89,100,3.98
244,Chokurdakh,RU,2021-12-30 16:32:40,70.6333,147.9167,-31.2,99,99,5.12
245,Port-Cartier,CA,2021-12-30 16:32:40,50.0334,-66.8654,35.74,88,100,8.68
246,La Palma,US,2021-12-30 16:31:41,33.8464,-118.0467,57.49,93,90,5.01
247,Bairiki,KI,2021-12-30 16:32:41,1.3292,172.9752,78.8,89,20,0.0
248,Blackwater,AU,2021-12-30 16:32:41,-23.5833,148.8833,68.47,75,67,11.03
249,Asau,RO,2021-12-30 16:32:41,46.4333,26.4,27.75,96,95,4.99
250,San Quintin,MX,2021-12-30 16:32:42,30.4833,-115.95,61.38,65,90,13.47
251,Oranjemund,NA,2021-12-30 16:32:42,-28.55,16.4333,65.62,74,0,20.33
252,Damaturu,NG,2021-12-30 16:32:42,11.747,11.9608,78.58,16,21,9.53
